RMSE,Score,Model_spec,sequence_len,feature_num,attention_type,cell_type,fc_activation,rnn_num_layers,hidden_dim,lstm_dim,fc_layer_dim,feature_head_num,sequence_head_num,fc_dropout,save_attention_weights,dataset_root,sub_dataset,norm_type,max_rul,cluster_operations,norm_by_operations,use_max_rul_on_test,validation_rate,batch_size,lr,patience,max_epochs,alpha,beta,gpus,bidirectional,shuffle,exclude_cols
16.247976303100586,1701.21826171875,DegFormer+xLSTM,20,20,deg_attention,slstm,gelu,1,24,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
16.28911018371582,1825.746337890625,DegFormer+xLSTM,20,20,deg_attention,slstm,gelu,1,24,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
16.363075256347656,1790.61474609375,DegFormer+xLSTM,20,20,deg_attention,slstm,gelu,1,24,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
16.317047119140625,2015.165771484375,DegFormer+xLSTM,20,20,deg_attention,slstm,gelu,1,24,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
16.62032699584961,2179.795166015625,DegFormer+xLSTM,20,20,deg_attention,slstm,gelu,1,24,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
14.972652435302734,1035.7353515625,DegFormer+xLSTM,25,20,deg_attention,slstm,gelu,1,32,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
14.97265911102295,1035.733154296875,DegFormer+xLSTM,25,20,deg_attention,slstm,gelu,1,32,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
14.972646713256836,1035.7369384765625,DegFormer+xLSTM,25,20,deg_attention,slstm,gelu,1,32,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
14.97265625,1035.733642578125,DegFormer+xLSTM,25,20,deg_attention,slstm,gelu,1,32,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
14.972650527954102,1035.7384033203125,DegFormer+xLSTM,25,20,deg_attention,slstm,gelu,1,32,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
15.008528709411621,1144.41796875,DegFormer+xLSTM,30,20,deg_attention,slstm,gelu,1,32,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
15.008567810058594,1144.42822265625,DegFormer+xLSTM,30,20,deg_attention,slstm,gelu,1,32,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
15.008567810058594,1144.4287109375,DegFormer+xLSTM,30,20,deg_attention,slstm,gelu,1,32,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
15.008539199829102,1144.4202880859375,DegFormer+xLSTM,30,20,deg_attention,slstm,gelu,1,32,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
15.00857925415039,1144.4332275390625,DegFormer+xLSTM,30,20,deg_attention,slstm,gelu,1,32,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
13.437629699707031,906.29931640625,DegFormer+xLSTM,35,20,deg_attention,slstm,gelu,1,40,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
13.437644958496094,906.29736328125,DegFormer+xLSTM,35,20,deg_attention,slstm,gelu,1,40,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
13.437638282775879,906.3001708984375,DegFormer+xLSTM,35,20,deg_attention,slstm,gelu,1,40,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
13.437637329101562,906.2965087890625,DegFormer+xLSTM,35,20,deg_attention,slstm,gelu,1,40,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
13.437642097473145,906.2973022460938,DegFormer+xLSTM,35,20,deg_attention,slstm,gelu,1,40,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
13.233016014099121,812.5023193359375,DegFormer+xLSTM,40,20,deg_attention,slstm,gelu,1,40,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
13.233003616333008,812.4996948242188,DegFormer+xLSTM,40,20,deg_attention,slstm,gelu,1,40,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
13.23301887512207,812.4998779296875,DegFormer+xLSTM,40,20,deg_attention,slstm,gelu,1,40,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
13.23300552368164,812.4996337890625,DegFormer+xLSTM,40,20,deg_attention,slstm,gelu,1,40,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
13.233002662658691,812.5006713867188,DegFormer+xLSTM,40,20,deg_attention,slstm,gelu,1,40,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
13.645764350891113,1001.9583740234375,DegFormer+xLSTM,45,20,deg_attention,slstm,gelu,1,48,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
13.64564323425293,1001.9256591796875,DegFormer+xLSTM,45,20,deg_attention,slstm,gelu,1,48,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
13.645953178405762,1002.0071411132812,DegFormer+xLSTM,45,20,deg_attention,slstm,gelu,1,48,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
13.645662307739258,1001.928466796875,DegFormer+xLSTM,45,20,deg_attention,slstm,gelu,1,48,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
13.64554214477539,1001.8946533203125,DegFormer+xLSTM,45,20,deg_attention,slstm,gelu,1,48,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
13.655887603759766,962.2830200195312,DegFormer+xLSTM,50,20,deg_attention,slstm,gelu,1,56,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
13.655799865722656,962.26953125,DegFormer+xLSTM,50,20,deg_attention,slstm,gelu,1,56,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
13.655876159667969,962.284912109375,DegFormer+xLSTM,50,20,deg_attention,slstm,gelu,1,56,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
13.655850410461426,962.27783203125,DegFormer+xLSTM,50,20,deg_attention,slstm,gelu,1,56,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
13.65587329864502,962.2841186523438,DegFormer+xLSTM,50,20,deg_attention,slstm,gelu,1,56,32,128,2,2,0.3,False,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,True,True,True,0.25,128,0.001,50,200,0.5,0.5,1,False,False,"['s13', 's16', 's18', 's19']"
