batch_size,RMSE,Score,Model_spec,sequence_len,feature_num,attention_type,cell_type,fc_activation,rnn_num_layers,hidden_dim,lstm_dim,fc_layer_dim,feature_head_num,sequence_head_num,fc_dropout,lr,validation_rate,patience,max_epochs,bidirectional,save_attention_weights,dataset_root,sub_dataset,norm_type,max_rul,cluster_operations,norm_by_operations,use_max_rul_on_test,gpus,shuffle,exclude_cols
32,11.92543602,228.9519653,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
32,12.8370285,300.8445435,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
32,11.40306282,229.2262878,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
32,12.14666367,263.0259094,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
32,11.40300179,229.2234192,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
,11.94303856,250.254425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,12.47499084,284.619873,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
64,11.74419498,235.1790466,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
64,12.4749918,284.6199646,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
64,11.74419403,235.1788177,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
64,12.47499371,284.6200562,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
,12.18267307,264.8435516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,11.34017105,219.2688293,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
128,11.1774004,211.9535522,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
128,11.63482571,218.7560272,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
128,11.07740326,209.9537811,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
128,11.53589382,218.8715515,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
,11.35313885,228.1607483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,12.50387478,277.3794556,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
256,11.25745392,227.4894409,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
256,12.50386429,277.3791199,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
256,11.25745392,227.4894104,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
256,12.50385761,277.3787231,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
,12.0053009,257.42323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,11.16121769,213.8343201,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
512,12.23794842,264.0124207,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
512,11.16121864,213.8343658,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
512,12.23795128,264.0125122,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
512,11.16121769,213.8342896,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
,11.59191074,233.9055817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
